kitsu_id,slug,status,title_canonical,title_en,title_ja,title_norm_canonical,title_norm_en,title_norm_ja,synopsis_clean,rating_average_10,rating_rank,popularity_rank,categories_json,genres_json,authors_json
68,hunter-x-hunter,current,Hunter x Hunter,Hunter x Hunter,HUNTER×HUNTER,hunter x hunter,hunter x hunter,hunter hunter,"Hunters are a special breed, dedicated to tracking down treasures, magical beasts, and even other men. But such pursuits require a license, and less than one in a hundred thousand can pass the grueling qualification exam. Those who do pass gain access to restricted areas, amazing stores of information, and the right to call themselves Hunters. (Source: Shonen Jump)",8.433,19,11,"[""Super Power"", ""Fantasy"", ""Action"", ""Adventure"", ""Psychological"", ""Fantasy World"", ""Shounen""]","[""Psychological"", ""Super Power"", ""Fantasy"", ""Action"", ""Adventure""]","[{""name"": ""Yoshihiro Togashi"", ""role"": ""Scénario & Dessin""}]"
24208,nanatsu-no-taizai,finished,Nanatsu no Taizai,The Seven Deadly Sins,七つの大罪,nanatsu no taizai,the seven deadly sins,,"When they were accused of trying to overthrow the monarchy, the feared warriors the Seven Deadly Sins were sent into exile. Princess Elizabeth discovers the truth - the Sins were framed by the king's guard, the Holy Knights - too late to prevent them from assassinating her father and seizing the throne! Now the princess is on the run, seeking the Sins to help her reclaim the kingdom. But the first Sin she meets, Meliodas, is a little innkeeper with a talking pig. He doesn't even have a real sword! Have the legends of the Sins' strength been exaggerated? (Source: Kodansha Comics)",8.309000000000001,61,12,"[""Fantasy"", ""Action"", ""Ecchi"", ""Adventure""]","[""Supernatural"", ""Fantasy"", ""Action"", ""Ecchi"", ""Adventure""]","[{""name"": ""Nakaba Suzuki"", ""role"": ""Scénario & Dessin""}]"
40815,jujutsu-kaisen,finished,Jujutsu Kaisen,Jujutsu Kaisen,呪術廻戦,jujutsu kaisen,jujutsu kaisen,,"Although Yuji Itadori looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Research Club. One day, the club manages to get their hands on a sealed cursed object. Little do they know the terror they’ll unleash when they break the seal… (Source: Viz Media) Notes: - Ranked 1st in Japan's Bookstore Employees Top Manga of 2018. - Nominated for the 25th Annual Tezuka Osamu Cultural Prize in 2021. - Nominated for the 65th Shogakukan Manga Award in the Shounen Category in 2019.",8.464,9,13,"[""Action"", ""Demon"", ""Fantasy"", ""Shounen"", ""Supernatural"", ""School Life"", ""High School""]","[""Supernatural"", ""Demons"", ""Fantasy"", ""Action""]","[{""name"": ""Akutami Gege"", ""role"": ""Scénario & Dessin""}]"
12619,haikyuu,finished,Haikyuu!!,Haikyu!!,ハイキュー!!,haikyuu,haikyu,,"Ever since he saw the legendary player known as the ""Little Giant"" compete at the national volleyball finals, Shoyo Hinata has been aiming to be the best volleyball player ever! He decides to join the team at the high school the Little Giant went to-and then surpass him. Who says you need to be tall to play volleyball when you can jump higher than anyone else? After losing his first and last volleyball match against Tobio Kageyama, ""the King of the Court,"" Shoyo Hinata swears to become his rival after graduating middle school. But what happens when the guy he wants to defeat ends up being his teammate?! (Source: Viz Media) Note: Includes 2 extra chapters.",8.434000000000001,18,14,"[""Comedy"", ""School Life"", ""Sports"", ""School Clubs"", ""Friendship"", ""Shounen""]","[""Comedy"", ""Sports"", ""School"", ""Drama""]","[{""name"": ""Haruichi Furudate"", ""role"": ""Scénario & Dessin""}]"
20055,naruto-dokonjou-ninden,finished,Naruto Ninden Series,Naruto Ninden Series,NARUTO -ナルト- 忍伝シリーズ,naruto ninden series,naruto ninden series,naruto,"A whole village has suddenly disappeared and in its place, there is the mountain Hyatsuki. Can the story of the ""Jutsu of the moving mountains"" really be true? And where is Narutos old rival Renge? Naruto's job is it to find the answers to all these questions. Note: The novel is presented as if it were written by Jiraiya.",8.422,20,15,"[""Sports"", ""Adventure""]","[""Sports"", ""Adventure""]","[{""name"": ""Masashi Kishimoto"", ""role"": ""Scénario & Dessin""}, {""name"": ""Akira Higashiyama"", ""role"": ""Scénario""}]"
38482,kimi-no-na-wa-manga,finished,Kimi no Na wa.,Your name.,君の名は。,kimi no na wa,your name,,"Based on the hit animated film! Mitsuha, a high school girl from a town deep in the mountains, dreams of an unfamiliar life in Tokyo. Taki, a high school boy from Tokyo, dreams that he is a girl living in the mountains. As the two change places in their dreams, their encounter sets a miraculous story into motion. (Source: Yen Press)",8.404,28,16,"[""Fantasy"", ""School Life"", ""Drama"", ""Romance""]","[""Supernatural"", ""School"", ""Drama"", ""Romance""]","[{""name"": ""Makoto Shinkai"", ""role"": ""Scénario""}, {""name"": ""Ranmaru Kotone"", ""role"": ""Dessin""}]"
8,berserk,current,Berserk,Berserk,ベルセルク,berserk,berserk,,"His name is Guts, the Black Swordsman, a feared warrior spoken of only in whispers. Bearer of a gigantic sword, an iron hand, and the scars of countless battles and tortures, his flesh is also indelibly marked with The Brand, an unholy symbol that draws the forces of darkness to him and dooms him as their sacrifice. But Guts won't take his fate lying down; he'll cut a crimson swath of carnage through the ranks of the damned—and anyone else foolish enough to oppose him! Accompanied by Puck the Elf, more an annoyance than a companion, Guts relentlessly follows a dark, bloodstained path that leads only to death...or vengeance. (Source: Dark Horse) Notes: - Volumes 1-5 contain the 16 prequel chapters 0A - 0P. - Chapter 83 was omitted from Volume 13 due to the author’s request. - Volume 14 includes “Berserk: The Prototype”. - Due to the author's passing, starting from Chapter 365, the manga is illustrated by Studio Gaga (Miura's assistants) and supervised by Kouji Mori (a close friend of Miura's).",8.484,5,17,"[""Military"", ""Demon"", ""Horror"", ""Drama"", ""Action"", ""Adventure"", ""Fantasy"", ""Psychological"", ""Dark Fantasy"", ""Contemporary Fantasy"", ""Alternative Past"", ""Fantasy World"", ""Rotten World"", ""Revenge"", ""Violence"", ""Feudal Warfare"", ""Plot Continuity"", ""Swordplay"", ""Past"", ""Dystopia""]","[""Supernatural"", ""Psychological"", ""Military"", ""Demons"", ""Fantasy"", ""Horror"", ""Drama"", ""Action"", ""Adventure""]","[{""name"": ""Kentarou Miura"", ""role"": ""Scénario & Dessin""}]"
54114,solo-levelling,finished,Solo Leveling,Solo Leveling,俺だけレベルアップな件,solo leveling,solo leveling,,"In a world where awakened beings called “Hunters” must battle deadly monsters to protect humanity, Sung Jinwoo, nicknamed “the weakest hunter of all mankind,” finds himself in a constant struggle for survival. One day, after a brutal encounter in an overpowered dungeon wipes out his party and threatens to end his life, a mysterious System chooses him as its sole player: Jinwoo has been granted the rare opportunity to level up his abilities, possibly beyond any known limits. Follow Jinwoo’s journey as he takes on ever-stronger enemies, both human and monster, to discover the secrets deep within the dungeons and the ultimate extent of his powers. (Source: Tappytoon) Note: Chapter count includes a prologue and 21 side stories.",8.463,11,18,"[""Adventure"", ""Action"", ""Fantasy"", ""Shounen""]",[],[]
66,fullmetal-alchemist,finished,Fullmetal Alchemist,Fullmetal Alchemist,鋼の錬金術師,fullmetal alchemist,fullmetal alchemist,,"In an alchemical ritual gone wrong, Edward Elric lost his arm and his leg, and his brother Alphonse became nothing but a soul in a suit of armor. Equipped with mechanical ""auto-mail"" limbs, Edward becomes a state alchemist, seeking the one thing that can restore his brother and himself... the legendary Philosopher's Stone. Won the 49th Shogakukan Manga Award in the Shounen category. Won the 15th Tezuka Osamu Cultural Award New Artist Prize. Won the Eagle Award's ""Favourite Manga"" in 2010/2011. Won the Seiun Award for best science fiction comic in 2011.",8.395999999999999,31,19,"[""Comedy"", ""Military"", ""Drama"", ""Action"", ""Adventure"", ""Shounen"", ""Fantasy"", ""War"", ""Politics"", ""Magic"", ""Steampunk""]","[""Comedy"", ""Military"", ""Drama"", ""Action"", ""Adventure""]","[{""name"": ""Hiromu Arakawa"", ""role"": ""Scénario & Dessin""}]"
38047,yakusoku-no-neverland,finished,Yakusoku no Neverland,The Promised Neverland,約束のネバーランド,yakusoku no neverland,the promised neverland,,"Emma and her friends have a pretty good life at the orphanage they grew up in. Though the rules may be strict, the caretaker is kind. But why are the children forbidden from ever leaving...? (Source: VIZ Media)",8.353,42,20,"[""Science Fiction"", ""Horror"", ""Mystery"", ""Psychological"", ""Shounen""]","[""Sci-Fi"", ""Mystery"", ""Horror""]","[{""name"": ""Posuka Demizu"", ""role"": ""Dessin""}, {""name"": ""Kaiu Shirai"", ""role"": ""Scénario""}]"
8549,kuroshitsuji,current,Kuroshitsuji,Black Butler,黒執事,kuroshitsuji,black butler,,"In Victorian era Europe, a young boy loses everything he once held near and dear to a vicious plot. In his moment of death, he strikes a deal with a demon: his soul, in exchange for revenge. Ciel Phantomhive is now the head of the Phantomhive corporation, handling all business affairs as well as the underground work for the Queen of England. His new partner is a demon butler, Sebastian Michaelis, whose prowess as a butler is only surpassed by his strength as a demon. The story follows the two along with their other servants, as they work to unravel the plot behind Ciel's parents' murder, and the horrendous tragedies that befell Ciel in the month directly after.",8.32,59,21,"[""Comedy"", ""Fantasy"", ""Demon"", ""Shounen""]","[""Comedy"", ""Mystery"", ""Supernatural"", ""Historical"", ""Demons"", ""Fantasy"", ""Action""]","[{""name"": ""Yana Toboso"", ""role"": ""Scénario & Dessin""}]"
1554,shokugeki-no-souma,finished,Shokugeki no Souma,Food Wars: Shokugeki no Soma,食戟のソーマ,shokugeki no souma,food wars shokugeki no soma,,"Soma Yukihira's old man runs a small family restaurant in the less savory end of town. Aiming to one day surpass his father's culinary prowess, Soma hones his skills day in and day out until one day, out of the blue, his father decides to enroll Soma in a classy culinary school! Can Soma really cut it in a place that prides itself on a 10 percent graduation rate? And can he convince the beautiful, domineering heiress to the school that he belongs there at all?! (Source: VIZ Books) Note: The 3 chapter Le dessert epilogue is counted as chapters 316-318",8.247,150,22,"[""Comedy"", ""School Life"", ""Ecchi"", ""Cooking"", ""Present"", ""Japan"", ""Shounen""]","[""Comedy"", ""School"", ""Ecchi"", ""Food""]","[{""name"": ""Shun Saeki"", ""role"": ""Dessin""}, {""name"": ""Yuuto Tsukuda"", ""role"": ""Scénario""}, {""name"": ""Yuki Morisaki"", ""role"": ""Scénario""}]"
26178,tokyo-ghoul-novel,finished,Tokyo Ghoul,Tokyo Ghoul,東京喰種トーキョーグール,tokyo ghoul,tokyo ghoul,,"Explore the world of Tokyo Ghoul with these prose fiction spin-offs! Ghouls live among us, the same as normal people in every way --except their craving for human flesh. Ken Kaneki is an ordinary college student until a violent encounter turns him into the first half-human half-ghoul hybrid. Trapped between two worlds, he must survive Ghoul turf wars, learn more about Ghoul society and master his new powers. Many conflicts and incidents arise involving the clientele of the café Anteiku, where Ghouls gather. Yoshimura, the café's owner, is harboring suspicions about a certain someone. What sort of darkness will that person bring between those who hunt and those who are hunted? This book chronicles six all-new stories from the Tokyo Ghoul universe. (Source: VIZ Books",8.338,46,23,"[""Horror"", ""Drama"", ""Action"", ""Psychological"", ""Mystery"", ""Supernatural""]","[""Mystery"", ""Supernatural"", ""Psychological"", ""Horror"", ""Drama"", ""Action""]","[{""name"": ""Sui Ishida"", ""role"": ""Dessin""}, {""name"": ""Shin Towada"", ""role"": ""Scénario""}]"
22352,horimiya,finished,Horimiya,Horimiya,ホリミヤ,horimiya,horimiya,,"At school, Kyouko Hori is known for being smart, attractive, and popular. On the other hand, her classmate, the boring, gloomy Izumi Miyamura tends to get painted as a ""loser fanboy."" But when a liberally pierced and tattooed (not to mention downright gorgeous) Miyamura appears unexpectedly on the doorstep of secretly plain-Jane homebody Hori, these two similarly dissimilar teenagers discover that there are multiple sides to every story...and person! (Source: Yen Press) Notes: -Includes 20 extra chapters. -The 17th volume got released on July 18, 2023. This was 2 years after its original ending. This new volume included 10 extra chapters. Note: Chapter count includes 20 extra chapters.",8.331999999999999,52,24,"[""Comedy"", ""School Life"", ""Slice of Life"", ""Romance"", ""Coming Of Age"", ""Slapstick"", ""Family""]","[""Comedy"", ""School"", ""Slice of Life"", ""Romance""]","[{""name"": ""Daisuke Hagiwara"", ""role"": ""Dessin""}, {""name"": ""HERO"", ""role"": ""Scénario""}]"
54139,chainsawman,finished,Chainsaw Man,Chainsaw Man,チェンソーマン,chainsaw man,chainsaw man,,"The name says it all! Denji's life of poverty is changed forever when he merges with his pet chainsaw dog, Pochita! Now he's living in the big city and an official Devil Hunter. But he's got a lot to learn about his new job and chainsaw powers! (Source: Mangaplus) Notes: - Nominated for the 2020 Manga Taisho Award. - Winner of the 2021 Kono Manga ga Sugoi Award. - Winner of the 66th Shogakukan Manga Award in the shounen category. - Winner of the 2021 and 2022 Harvey Award for Best Manga.",8.48,6,25,"[""Action"", ""Shounen"", ""Supernatural"", ""Violence"", ""Cops"", ""Magic"", ""Juujin"", ""Demon"", ""Comedy"", ""Ecchi"", ""Psychological"", ""Drama"", ""Horror"", ""Mystery""]",[],[]
26002,fairy-tail-plus,finished,Fairy Tail+,Fairy Tail Plus,FAIRY TAIL+,fairy tail,fairy tail plus,fairy tail,"This artbook contains 3 side stories that were not included in the main volumes. 1. Mira-sensei no Henshin Mahou Lesson (ミラ先生の変身魔法レッスン, Mira-Sensei's Transforming Magic Class) - Natsu, Happy and Lucy ask Mirajane to teach them Transformation Magic, Lucy becomes the focal point of yet another troublesome day. 2. Yousei no Izumi e Youkoso! (妖精の泉へようこそ！, Welcome to Fairy Fountain) - The master wants to open the guild's pool to the public to make some cash and he asks Lucy to test out the attractions that the guild members prepared. 3. Nagagutsu wo Haita Happy (長ぐつをはいたハッピー, Happy in Boots) - A short story of a talking cat, Happy and his plans for the princess and his master, Natsu. His plans, however, failed after the princess was turned off by a barbaric Natsu. Also contains ""Fairy Megane"" (crossover one-shot between ""Fairy Tail"" and ""Yankee-kun to Megane-chan"").",8.305,64,26,"[""Comedy"", ""Magic"", ""Fantasy"", ""Shounen"", ""Slice of Life"", ""Ecchi"", ""Fantasy World""]","[""Comedy"", ""Magic"", ""Fantasy""]","[{""name"": ""Hiro Mashima"", ""role"": ""Scénario & Dessin""}]"
35,naruto,finished,NARUTO,Naruto,NARUTO―ナルト―,naruto,naruto,naruto,"Before Naruto's birth, a great demon fox had attacked the Hidden Leaf Village. A man known as the 4th Hokage sealed the demon inside the newly born Naruto, causing him to unknowingly grow up detested by his fellow villagers. Despite his lack of talent in many areas of ninjutsu, Naruto strives for only one goal: to gain the title of Hokage, the strongest ninja in his village. Desiring the respect he never received, Naruto works towards his dream with fellow friends Sasuke and Sakura and mentor Kakashi as they go through many trials and battles that come with being a ninja.",8.236,211,27,"[""Super Power"", ""Action"", ""Adventure"", ""Martial Arts"", ""Shounen""]","[""Martial Arts"", ""Super Power"", ""Action"", ""Adventure""]","[{""name"": ""Masashi Kishimoto"", ""role"": ""Scénario & Dessin""}]"
17204,noragami,finished,Noragami,Noragami: Stray God,ノラガミ,noragami,noragami stray god,,"Yato is a homeless god. He doesn't even have a shrine, not to mention worshippers! So to achieve his ambitious goals, he's set up a service to help those in need (for a small fee), hoping he'll eventually raise enough money to build himself the lavish temple of his dreams. Of course, he can't afford to be picky, so Yato accepts all kinds of jobs, from finding lost kittens to helping a student overcome bullies at school. (Source: Kodansha Comics)",8.248999999999999,147,28,"[""Romance"", ""Action"", ""Fantasy"", ""Shounen"", ""Supernatural""]","[""Supernatural"", ""Fantasy"", ""Romance"", ""Action""]","[{""name"": ""Adachitoka"", ""role"": ""Scénario & Dessin""}]"
111,dragon-ball,finished,Dragon Ball,Dragon Ball,ドラゴンボール,dragon ball,dragon ball,,"Dragon Ball follows the adventures of Son Goku from his childhood through adulthood as he trains in martial arts and explores the world in search of the seven mystical orbs known as the Dragon Balls, which can summon a wish-granting dragon when gathered. Along his journey, Goku makes several friends and battles a wide variety of villains, many of whom also seek the Dragon Balls for their own desires. Along the way becoming the strongest warrior in the universe. Part II of Dragon Ball is also known as 'Dragon Ball Z' in North America. Volumes 17-42 were published in North America under the name Dragon Ball Z. (Source: Wikipedia)",8.334,51,29,"[""Comedy"", ""Science Fiction"", ""Super Power"", ""Action"", ""Adventure"", ""Martial Arts"", ""Shounen""]","[""Comedy"", ""Sci-Fi"", ""Martial Arts"", ""Super Power"", ""Action"", ""Adventure""]","[{""name"": ""Akira Toriyama"", ""role"": ""Scénario & Dessin""}]"
54448,spy-x-family,current,SPY×FAMILY,SPY x FAMILY,SPY×FAMILY,spy family,spy x family,spy family,"The master spy codenamed has spent his days on undercover missions, all for the dream of a better world. But one day, he receives a particularly difficult new order from command. For his mission, he must form a temporary family and start a new life?! A Spy/Action/Comedy about a one-of-a-kind family! Note: Nominated for the 12th Manga Taishou Award in 2019, also nominated for the 24th Tezuka Osamu Cultural Prize and the Best Shounen Manga of the 44th Kodansha Manga Awards in 2020. (Source: Manga PLUS)",8.478,7,30,"[""Comedy"", ""Action"", ""Family"", ""Assassin"", ""Supernatural"", ""Slice of Life""]",[],[]
6182,kaichou-wa-maid-sama,finished,Kaichou wa Maid-sama!,Maid-Sama!,会長はメイド様！,kaichou wa maid sama,maid sama,,"The class president has a little secret she's keeping from everyone in her high school. As President of the Student Council, the overachieving feminist Misaki really socks it to the guys in an attempt to make the former all-boys' school attract a more female student body. But what will she do when the most awesome boy in class finds out Misaki's part-time job is in a maid café?! It's love at first fight in this shojo romantic comedy—with a whole new look at the battle between the genres! (Source: Tokyopop)",8.254000000000001,134,31,"[""Comedy"", ""School Life"", ""Romance"", ""Maid""]","[""Comedy"", ""School"", ""Romance""]","[{""name"": ""Hiro Fujiwara"", ""role"": ""Scénario & Dessin""}]"
9964,oyasumi-punpun,finished,Oyasumi Punpun,Goodnight Punpun,おやすみプンプン,oyasumi punpun,goodnight punpun,,"Punpun is an ordinary young boy growing up in Japan whose age of innocence has reached its end after his father is arrested for spousal abuse and putting his mother in the hospital. With his uncle looking after him, Punpun grows into adulthood facing a series of events which change him, for better or worse, forcing him to contemplate just what it means to be an adult. (Source: ANN)",8.306000000000001,63,32,"[""Slice of Life"", ""Drama"", ""Psychological"", ""Coming Of Age""]","[""Psychological"", ""Slice of Life"", ""Drama""]","[{""name"": ""Inio Asano"", ""role"": ""Scénario & Dessin""}]"
36702,naruto-shinden-series,finished,Naruto Shinden Series,Naruto: Itachi's Story,NARUTO -ナルト- 真伝シリーズ,naruto shinden series,naruto itachi s story,naruto,The story will focus on the brothers who have eyes that see through to the truth and who live on the threshold of hope and despair. Itachi's past and Sasuke's future will be made clear.,8.439,15,33,"[""Super Power"", ""Action"", ""Adventure"", ""Martial Arts""]","[""Martial Arts"", ""Super Power"", ""Action"", ""Adventure""]","[{""name"": ""Masashi Kishimoto"", ""role"": ""Dessin""}, {""name"": ""Takashi Yano"", ""role"": ""Scénario""}, {""name"": ""Shin Towada"", ""role"": ""Scénario""}]"
